cust_id	session_id	date	tactic
2	164	4/11/2018	SEO
6	165	4/3/2018	AFFILIATE
12	166	4/12/2018	DIRECT LOAD
14	167	4/6/2018	SEM
14	168	4/6/2018	SEM
6	169	4/6/2018	DIRECT LOAD
15	170	4/12/2018	PAID SOCIAL
13	171	4/4/2018	PAID SOCIAL
25	172	4/2/2018	SEM
2	173	4/4/2018	SEO
14	174	4/12/2018	PAID SOCIAL
9	175	4/11/2018	SEO
19	176	4/4/2018	PAID SOCIAL
7	177	4/7/2018	DIRECT LOAD
24	178	4/12/2018	DIRECT LOAD
11	179	4/5/2018	SMS
8	180	4/9/2018	SMS
10	181	4/11/2018	DIRECT LOAD
16	182	4/3/2018	PAID SOCIAL
12	183	4/2/2018	SEO
12	184	4/12/2018	SMS
1	185	4/12/2018	SMS
9	186	4/6/2018	EMAIL
5	187	4/6/2018	SMS
18	188	4/5/2018	DIRECT LOAD
4	189	4/9/2018	EMAIL
1	190	4/2/2018	DIRECT LOAD
18	191	4/3/2018	SMS
1	192	4/6/2018	SMS
10	193	4/5/2018	EMAIL
19	194	4/12/2018	AFFILIATE
6	195	4/2/2018	SEO
15	196	4/5/2018	SEM
14	197	4/12/2018	PAID SOCIAL
7	198	4/9/2018	DIRECT LOAD
24	199	4/4/2018	SMS
24	200	4/12/2018	SMS
20	201	4/3/2018	SEO
22	202	4/7/2018	EMAIL
8	203	4/6/2018	EMAIL
12	204	4/5/2018	DIRECT LOAD
2	205	4/10/2018	DIRECT LOAD
15	206	4/5/2018	SEO
7	207	4/12/2018	DIRECT LOAD
2	208	4/7/2018	DIRECT LOAD
19	209	4/9/2018	SMS
10	210	4/12/2018	SEM
24	211	4/4/2018	SEM
24	212	4/11/2018	PAID SOCIAL
5	213	4/8/2018	SEM
24	214	4/6/2018	SMS
4	215	4/10/2018	EMAIL
1	216	4/3/2018	SEM
24	217	4/10/2018	PAID SOCIAL
23	218	4/6/2018	DIRECT LOAD
6	219	4/9/2018	SEO
21	220	4/7/2018	PAID SOCIAL
11	221	4/6/2018	EMAIL
19	222	4/5/2018	DIRECT LOAD
23	223	4/7/2018	SEO
25	224	4/8/2018	EMAIL
22	225	4/10/2018	EMAIL
4	226	4/12/2018	PAID SOCIAL
2	227	4/3/2018	SEM
15	228	4/4/2018	SEO
2	229	4/5/2018	DIRECT LOAD
9	230	4/7/2018	PAID SOCIAL
21	231	4/7/2018	EMAIL
14	232	4/8/2018	SEO
25	233	4/11/2018	SEM
11	234	4/11/2018	SEO
18	235	4/5/2018	SEM
25	236	4/2/2018	SEO
10	237	4/11/2018	SEO
24	238	4/12/2018	DIRECT LOAD
14	239	4/3/2018	DIRECT LOAD
12	240	4/7/2018	SMS
2	241	4/12/2018	PAID SOCIAL
11	242	4/12/2018	SEO
16	243	4/4/2018	DIRECT LOAD
14	244	4/12/2018	SMS
10	245	4/3/2018	EMAIL
9	246	4/3/2018	SMS
14	247	4/4/2018	PAID SOCIAL
3	248	4/7/2018	AFFILIATE
7	249	4/10/2018	SEO
23	250	4/12/2018	EMAIL
17	251	4/8/2018	DIRECT LOAD
13	252	4/10/2018	SMS
24	253	4/7/2018	DIRECT LOAD
3	254	4/5/2018	SEO
6	255	4/3/2018	SMS
5	256	4/11/2018	EMAIL
5	257	4/6/2018	AFFILIATE
12	258	4/7/2018	SMS
21	259	4/5/2018	SMS
14	260	4/6/2018	EMAIL
6	261	4/11/2018	SEO
1	262	4/5/2018	DIRECT LOAD
24	263	4/5/2018	AFFILIATE
17	264	4/5/2018	SEM
10	265	4/12/2018	EMAIL
8	266	4/10/2018	PAID SOCIAL
25	267	4/5/2018	SEM
14	268	4/6/2018	DIRECT LOAD
7	269	4/8/2018	AFFILIATE
15	270	4/8/2018	EMAIL
16	271	4/5/2018	SMS
16	272	4/5/2018	DIRECT LOAD
21	273	4/4/2018	DIRECT LOAD
24	274	4/12/2018	SEO
25	275	4/5/2018	EMAIL
9	276	4/2/2018	SMS
18	277	4/8/2018	SEM
6	278	4/10/2018	SEM
13	279	4/8/2018	SMS
10	280	4/4/2018	SEM
19	281	4/7/2018	SEM
19	282	4/2/2018	EMAIL
25	283	4/12/2018	DIRECT LOAD
7	284	4/9/2018	SEM
8	285	4/5/2018	DIRECT LOAD
21	286	4/5/2018	AFFILIATE
16	287	4/12/2018	EMAIL
11	288	4/10/2018	PAID SOCIAL
14	289	4/9/2018	DIRECT LOAD
18	290	4/11/2018	SEM
7	291	4/11/2018	PAID SOCIAL
17	292	4/6/2018	DIRECT LOAD
13	293	4/2/2018	AFFILIATE
8	294	4/7/2018	SMS
25	295	4/4/2018	AFFILIATE
10	296	4/8/2018	EMAIL
9	297	4/3/2018	SEO
8	298	4/6/2018	PAID SOCIAL
11	299	4/9/2018	SEO
12	300	4/4/2018	SMS
19	301	4/12/2018	DIRECT LOAD
23	302	4/4/2018	SEM
5	303	4/9/2018	SEO
4	304	4/2/2018	AFFILIATE
20	305	4/7/2018	SEO
25	306	4/5/2018	DIRECT LOAD
25	307	4/6/2018	EMAIL
20	308	4/3/2018	AFFILIATE
7	309	4/9/2018	EMAIL
10	310	4/4/2018	SEM
10	311	4/10/2018	SEM
15	312	4/2/2018	EMAIL
25	313	4/12/2018	AFFILIATE
4	314	4/5/2018	PAID SOCIAL
7	315	4/10/2018	SMS
3	316	4/2/2018	PAID SOCIAL
13	317	4/10/2018	SEO
10	318	4/3/2018	PAID SOCIAL
21	319	4/11/2018	SEO
17	320	4/4/2018	SEO
25	321	4/12/2018	DIRECT LOAD
25	322	4/11/2018	PAID SOCIAL
25	323	4/3/2018	PAID SOCIAL
14	324	4/2/2018	EMAIL
1	325	4/4/2018	PAID SOCIAL
12	326	4/6/2018	SEO
7	327	4/8/2018	SEO
3	328	4/2/2018	AFFILIATE
16	329	4/7/2018	AFFILIATE
15	330	4/12/2018	SEO
14	331	4/10/2018	DIRECT LOAD
23	332	4/7/2018	SEM
18	333	4/2/2018	DIRECT LOAD
17	334	4/2/2018	AFFILIATE
10	335	4/5/2018	AFFILIATE
1	336	4/10/2018	SEM
21	337	4/8/2018	DIRECT LOAD
7	338	4/2/2018	AFFILIATE
11	339	4/4/2018	AFFILIATE
18	340	4/10/2018	SEM
20	341	4/3/2018	EMAIL
21	342	4/12/2018	SMS
24	343	4/10/2018	PAID SOCIAL
21	344	4/7/2018	SEO
13	345	4/8/2018	PAID SOCIAL
20	346	4/3/2018	AFFILIATE
3	347	4/7/2018	AFFILIATE
10	348	4/6/2018	SEM
12	349	4/2/2018	SEO
15	350	4/5/2018	SEM
23	351	4/7/2018	EMAIL
11	352	4/11/2018	PAID SOCIAL
23	353	4/2/2018	SEO
19	354	4/4/2018	EMAIL
10	355	4/8/2018	EMAIL
25	356	4/8/2018	SEO
6	357	4/11/2018	SEM
5	358	4/9/2018	SMS
5	359	4/2/2018	SEM
13	360	4/6/2018	DIRECT LOAD
25	361	4/2/2018	AFFILIATE
15	362	4/6/2018	SEO
11	363	4/7/2018	EMAIL
2	364	4/9/2018	SMS
3	365	4/4/2018	SEM
13	366	4/10/2018	DIRECT LOAD
22	367	4/5/2018	SEO
3	368	4/10/2018	PAID SOCIAL
6	369	4/5/2018	DIRECT LOAD
2	370	4/8/2018	SEM
13	371	4/5/2018	DIRECT LOAD
20	372	4/5/2018	PAID SOCIAL
24	373	4/6/2018	PAID SOCIAL
10	374	4/10/2018	PAID SOCIAL
17	375	4/12/2018	DIRECT LOAD
11	376	4/3/2018	SEO
2	377	4/5/2018	AFFILIATE
4	378	4/4/2018	DIRECT LOAD
15	379	4/3/2018	SMS
11	380	4/6/2018	SEO
16	381	4/7/2018	SMS
19	382	4/8/2018	AFFILIATE
10	383	4/7/2018	AFFILIATE
24	384	4/4/2018	PAID SOCIAL
7	385	4/11/2018	DIRECT LOAD
14	386	4/11/2018	AFFILIATE
11	387	4/8/2018	SEO
7	388	4/6/2018	SEO
9	389	4/10/2018	SEO
11	390	4/7/2018	PAID SOCIAL
21	391	4/6/2018	SMS
12	392	4/12/2018	SEO
13	393	4/5/2018	SEO
22	394	4/5/2018	AFFILIATE
17	395	4/6/2018	DIRECT LOAD
22	396	4/11/2018	SMS
4	397	4/3/2018	DIRECT LOAD
7	398	4/4/2018	SMS
24	399	4/5/2018	AFFILIATE
5	400	4/5/2018	PAID SOCIAL
2	401	4/4/2018	AFFILIATE
8	402	4/11/2018	AFFILIATE
10	403	4/2/2018	SEM
7	404	4/12/2018	SEO
25	405	4/12/2018	AFFILIATE
12	406	4/12/2018	PAID SOCIAL
16	407	4/11/2018	SEM
23	408	4/7/2018	SEO
7	409	4/10/2018	EMAIL
11	410	4/3/2018	PAID SOCIAL
9	411	4/4/2018	SEM
21	412	4/10/2018	AFFILIATE
25	413	4/2/2018	SMS
4	414	4/6/2018	AFFILIATE
16	415	4/3/2018	PAID SOCIAL
3	416	4/4/2018	EMAIL
22	417	4/8/2018	SEM
19	418	4/6/2018	SEO
3	419	4/4/2018	PAID SOCIAL
21	420	4/10/2018	EMAIL
7	421	4/9/2018	EMAIL
12	422	4/7/2018	EMAIL
21	423	4/12/2018	PAID SOCIAL
18	424	4/5/2018	DIRECT LOAD
20	425	4/10/2018	EMAIL
6	426	4/3/2018	SEO
20	427	4/6/2018	SEO
2	428	4/3/2018	DIRECT LOAD
25	429	4/8/2018	AFFILIATE
17	430	4/12/2018	PAID SOCIAL
18	431	4/12/2018	SEM
12	432	4/6/2018	SEO
25	433	4/12/2018	SEM
24	434	4/4/2018	DIRECT LOAD
8	435	4/10/2018	SEM
11	436	4/5/2018	SMS
4	437	4/8/2018	DIRECT LOAD
5	438	4/9/2018	DIRECT LOAD
23	439	4/12/2018	SEM
7	440	4/8/2018	SEM
23	441	4/6/2018	PAID SOCIAL
25	442	4/3/2018	EMAIL
13	443	4/9/2018	SEM
9	444	4/5/2018	AFFILIATE
20	445	4/12/2018	EMAIL
8	446	4/5/2018	EMAIL
8	447	4/2/2018	DIRECT LOAD
5	448	4/3/2018	SMS
14	449	4/2/2018	SEO
3	450	4/8/2018	DIRECT LOAD
16	451	4/11/2018	AFFILIATE
10	452	4/8/2018	SEO
6	453	4/5/2018	SMS
16	454	4/12/2018	SEO
3	455	4/6/2018	SEM
13	456	4/9/2018	SEO
20	457	4/12/2018	SEO
10	458	4/7/2018	SEM
15	459	4/4/2018	EMAIL
14	460	4/4/2018	DIRECT LOAD
8	461	4/5/2018	EMAIL
6	462	4/6/2018	SMS
1	463	4/4/2018	SEO
2	464	4/12/2018	SMS
23	465	4/11/2018	SEO
14	466	4/9/2018	EMAIL
16	467	4/9/2018	AFFILIATE
5	468	4/4/2018	EMAIL
23	469	4/8/2018	EMAIL
3	470	4/11/2018	SMS
25	471	4/5/2018	SEO
9	472	4/8/2018	DIRECT LOAD
10	473	4/11/2018	AFFILIATE
2	474	4/6/2018	AFFILIATE
10	475	4/2/2018	SEM
1	476	4/10/2018	EMAIL
5	477	4/10/2018	DIRECT LOAD
8	478	4/8/2018	SEM
19	479	4/9/2018	EMAIL
25	480	4/12/2018	EMAIL
23	481	4/11/2018	SEM
13	482	4/2/2018	SEO
13	483	4/7/2018	SEO
7	484	4/11/2018	SEO
8	485	4/12/2018	EMAIL
7	486	4/5/2018	AFFILIATE
10	487	4/5/2018	AFFILIATE
19	488	4/6/2018	SEM
25	489	4/2/2018	DIRECT LOAD
25	490	4/2/2018	SEM
4	491	4/8/2018	EMAIL
6	492	4/7/2018	EMAIL
9	493	4/5/2018	SEO
21	494	4/2/2018	PAID SOCIAL
5	495	4/3/2018	SEO
12	496	4/4/2018	AFFILIATE
12	497	4/11/2018	AFFILIATE
4	498	4/12/2018	SMS
9	499	4/6/2018	DIRECT LOAD
2	500	4/12/2018	PAID SOCIAL
12	501	4/3/2018	SEO
6	502	4/5/2018	AFFILIATE
21	503	4/12/2018	AFFILIATE
5	504	4/3/2018	EMAIL
14	505	4/4/2018	SEO
18	506	4/5/2018	SMS
2	507	4/2/2018	DIRECT LOAD
2	508	4/2/2018	AFFILIATE
8	509	4/3/2018	SEO
10	510	4/5/2018	PAID SOCIAL
6	511	4/6/2018	PAID SOCIAL
12	512	4/4/2018	SEO
24	513	4/7/2018	SEM
5	514	4/11/2018	EMAIL
12	515	4/3/2018	SEM
4	516	4/11/2018	PAID SOCIAL
1	517	4/10/2018	SMS
17	518	4/12/2018	PAID SOCIAL
25	519	4/11/2018	SEM
23	520	4/4/2018	AFFILIATE
8	521	4/12/2018	SEO
21	522	4/9/2018	PAID SOCIAL
13	523	4/5/2018	PAID SOCIAL
21	524	4/3/2018	EMAIL
18	525	4/11/2018	SEM
13	526	4/7/2018	SMS
5	527	4/8/2018	PAID SOCIAL
8	528	4/2/2018	DIRECT LOAD
18	529	4/4/2018	SEO
8	530	4/11/2018	SEO
22	531	4/3/2018	SMS
6	532	4/6/2018	EMAIL
22	533	4/7/2018	SEM
4	534	4/3/2018	DIRECT LOAD
15	535	4/9/2018	PAID SOCIAL
13	536	4/11/2018	SMS
7	537	4/5/2018	EMAIL
15	538	4/11/2018	SEO
20	539	4/6/2018	PAID SOCIAL
19	540	4/2/2018	AFFILIATE
24	541	4/8/2018	AFFILIATE
20	542	4/4/2018	SEO
19	543	4/5/2018	SMS
13	544	4/12/2018	AFFILIATE
3	545	4/8/2018	SEO
5	546	4/8/2018	PAID SOCIAL
14	547	4/2/2018	PAID SOCIAL
25	548	4/11/2018	AFFILIATE
11	549	4/6/2018	AFFILIATE
16	550	4/12/2018	SEO
23	551	4/6/2018	EMAIL
5	552	4/6/2018	AFFILIATE
22	553	4/6/2018	EMAIL
24	554	4/11/2018	DIRECT LOAD
13	555	4/2/2018	SEO
16	556	4/10/2018	DIRECT LOAD
15	557	4/8/2018	PAID SOCIAL
6	558	4/6/2018	EMAIL
19	559	4/8/2018	SEO
20	560	4/10/2018	SEO
16	561	4/12/2018	SEM
16	562	4/8/2018	SEO
15	563	4/9/2018	AFFILIATE
9	564	4/3/2018	EMAIL
3	565	4/4/2018	AFFILIATE
6	566	4/8/2018	SMS
2	567	4/5/2018	AFFILIATE
12	568	4/12/2018	DIRECT LOAD
24	569	4/5/2018	SEO
23	570	4/3/2018	SEM
1	571	4/9/2018	SMS
10	572	4/10/2018	PAID SOCIAL
7	573	4/2/2018	PAID SOCIAL
16	574	4/11/2018	SEO
14	575	4/11/2018	SEM
11	576	4/10/2018	PAID SOCIAL
11	577	4/3/2018	AFFILIATE
11	578	4/5/2018	EMAIL
21	579	4/11/2018	SEM
14	580	4/2/2018	PAID SOCIAL
7	581	4/12/2018	AFFILIATE
1	582	4/7/2018	SEM
12	583	4/5/2018	PAID SOCIAL
17	584	4/4/2018	SMS
22	585	4/11/2018	EMAIL
15	586	4/9/2018	DIRECT LOAD
5	587	4/4/2018	SEM
9	588	4/11/2018	AFFILIATE
14	589	4/9/2018	PAID SOCIAL
24	590	4/9/2018	DIRECT LOAD
20	591	4/8/2018	SMS
14	592	4/5/2018	PAID SOCIAL
20	593	4/4/2018	SEM
13	594	4/11/2018	DIRECT LOAD
9	595	4/10/2018	SEO
5	596	4/12/2018	PAID SOCIAL
19	597	4/9/2018	SMS
20	598	4/6/2018	SMS
10	599	4/10/2018	SMS
14	600	4/3/2018	DIRECT LOAD
20	601	4/7/2018	PAID SOCIAL
3	602	4/6/2018	EMAIL
25	603	4/2/2018	EMAIL
19	604	4/2/2018	AFFILIATE
3	605	4/2/2018	SMS
1	606	4/8/2018	SMS
15	607	4/11/2018	SMS
2	608	4/6/2018	DIRECT LOAD
24	609	4/2/2018	EMAIL
6	610	4/8/2018	PAID SOCIAL
16	611	4/8/2018	DIRECT LOAD
1	612	4/2/2018	DIRECT LOAD
4	613	4/2/2018	SMS
2	614	4/11/2018	SEM
8	615	4/10/2018	PAID SOCIAL
24	616	4/9/2018	DIRECT LOAD
17	617	4/4/2018	AFFILIATE
4	618	4/5/2018	PAID SOCIAL
22	619	4/3/2018	DIRECT LOAD
9	620	4/9/2018	SMS
8	621	4/3/2018	DIRECT LOAD
24	622	4/3/2018	PAID SOCIAL
4	623	4/9/2018	AFFILIATE
15	624	4/8/2018	EMAIL
25	625	4/8/2018	EMAIL
14	626	4/12/2018	SEO
18	627	4/2/2018	AFFILIATE
12	628	4/7/2018	PAID SOCIAL
18	629	4/7/2018	DIRECT LOAD
10	630	4/10/2018	SMS
5	631	4/10/2018	SEM
14	632	4/2/2018	AFFILIATE
24	633	4/10/2018	SMS
7	634	4/3/2018	SEO
9	635	4/2/2018	AFFILIATE
23	636	4/4/2018	DIRECT LOAD
15	637	4/9/2018	DIRECT LOAD
20	638	4/3/2018	SEM
7	639	4/8/2018	SEM
5	640	4/9/2018	SEO
12	641	4/4/2018	PAID SOCIAL
9	642	4/6/2018	AFFILIATE
16	643	4/9/2018	DIRECT LOAD
8	644	4/6/2018	SEO
15	645	4/4/2018	DIRECT LOAD
22	646	4/9/2018	SEO
19	647	4/9/2018	DIRECT LOAD
16	648	4/12/2018	EMAIL
19	649	4/12/2018	AFFILIATE
17	650	4/4/2018	DIRECT LOAD
9	651	4/8/2018	SEO
22	652	4/7/2018	DIRECT LOAD
24	653	4/7/2018	PAID SOCIAL
23	654	4/10/2018	PAID SOCIAL
7	655	4/3/2018	AFFILIATE
12	656	4/10/2018	SMS
21	657	4/10/2018	AFFILIATE
14	658	4/8/2018	EMAIL
13	659	4/4/2018	AFFILIATE
8	660	4/9/2018	PAID SOCIAL
3	661	4/5/2018	DIRECT LOAD
2	662	4/10/2018	DIRECT LOAD
22	663	4/4/2018	EMAIL
16	664	4/4/2018	SEO
7	665	4/6/2018	AFFILIATE
10	666	4/3/2018	PAID SOCIAL
4	667	4/2/2018	SEO
24	668	4/5/2018	DIRECT LOAD
16	669	4/3/2018	SEO
14	670	4/7/2018	PAID SOCIAL
3	671	4/10/2018	AFFILIATE
14	672	4/6/2018	AFFILIATE
25	673	4/3/2018	SEM
7	674	4/9/2018	SMS
23	675	4/6/2018	DIRECT LOAD
3	676	4/10/2018	SEM
11	677	4/11/2018	PAID SOCIAL
20	678	4/2/2018	SEO
13	679	4/6/2018	AFFILIATE
21	680	4/2/2018	SEM
15	681	4/11/2018	SEM
12	682	4/3/2018	EMAIL
23	683	4/6/2018	SEO
5	684	4/8/2018	AFFILIATE
22	685	4/2/2018	SMS
10	686	4/10/2018	AFFILIATE
6	687	4/10/2018	SEO
25	688	4/10/2018	PAID SOCIAL
9	689	4/7/2018	PAID SOCIAL
1	690	4/9/2018	SMS
21	691	4/2/2018	SMS
21	692	4/12/2018	DIRECT LOAD
5	693	4/6/2018	SEM
12	694	4/11/2018	DIRECT LOAD
6	695	4/7/2018	SEM
24	696	4/3/2018	SMS
5	697	4/8/2018	SEM
14	698	4/7/2018	PAID SOCIAL
11	699	4/5/2018	SEO
10	700	4/4/2018	DIRECT LOAD
22	701	4/4/2018	SMS
16	702	4/4/2018	SEO
3	703	4/7/2018	AFFILIATE
23	704	4/4/2018	EMAIL
23	705	4/6/2018	SMS
20	706	4/12/2018	PAID SOCIAL
6	707	4/7/2018	DIRECT LOAD
7	708	4/10/2018	SMS
16	709	4/7/2018	DIRECT LOAD
17	710	4/4/2018	SMS
18	711	4/4/2018	EMAIL
21	712	4/3/2018	SMS
6	713	4/10/2018	SEM
11	714	4/4/2018	SEM
14	715	4/10/2018	SEM
23	716	4/2/2018	SEM
23	717	4/8/2018	SEM
18	718	4/11/2018	SMS
22	719	4/9/2018	SMS
13	720	4/8/2018	SEO
17	721	4/11/2018	SEO
4	722	4/6/2018	SEO
5	723	4/8/2018	PAID SOCIAL
7	724	4/8/2018	SEO
8	725	4/3/2018	SMS
24	726	4/10/2018	SMS
19	727	4/2/2018	SEM
7	728	4/6/2018	AFFILIATE
11	729	4/3/2018	SEO
15	730	4/2/2018	EMAIL
3	731	4/2/2018	SEM
19	732	4/7/2018	PAID SOCIAL
10	733	4/3/2018	EMAIL
18	734	4/4/2018	SEO
21	735	4/4/2018	SEM
7	736	4/8/2018	EMAIL
12	737	4/3/2018	PAID SOCIAL
7	738	4/5/2018	PAID SOCIAL
17	739	4/3/2018	SEM
20	740	4/7/2018	SMS
18	741	4/2/2018	SMS
15	742	4/12/2018	SEO
2	743	4/8/2018	SEM
23	744	4/9/2018	SEM
25	745	4/7/2018	PAID SOCIAL
23	746	4/7/2018	PAID SOCIAL
19	747	4/5/2018	PAID SOCIAL
16	748	4/5/2018	SMS
21	749	4/10/2018	DIRECT LOAD
12	750	4/2/2018	DIRECT LOAD
13	751	4/7/2018	DIRECT LOAD
3	752	4/4/2018	SEM
13	753	4/11/2018	SEM
23	754	4/3/2018	EMAIL
20	755	4/3/2018	PAID SOCIAL
1	756	4/10/2018	PAID SOCIAL
14	757	4/11/2018	SMS
11	758	4/11/2018	EMAIL
10	759	4/4/2018	EMAIL
20	760	4/7/2018	DIRECT LOAD
19	761	4/7/2018	SEM
6	762	4/12/2018	PAID SOCIAL
17	763	4/6/2018	SEO
20	764	4/4/2018	SMS
13	765	4/3/2018	SMS
18	766	4/4/2018	AFFILIATE
1	767	4/7/2018	SMS
24	768	4/5/2018	EMAIL
3	769	4/3/2018	EMAIL
1	770	4/8/2018	SEO
11	771	4/3/2018	SEM
2	772	4/9/2018	EMAIL
23	773	4/6/2018	DIRECT LOAD
23	774	4/2/2018	SEM
23	775	4/11/2018	EMAIL
15	776	4/3/2018	AFFILIATE
5	777	4/7/2018	SMS
5	778	4/10/2018	SEM
16	779	4/2/2018	PAID SOCIAL
2	780	4/4/2018	DIRECT LOAD
5	781	4/3/2018	SEM
20	782	4/7/2018	SMS
15	783	4/9/2018	EMAIL
11	784	4/5/2018	SEO
7	785	4/8/2018	SEM
10	786	4/9/2018	PAID SOCIAL
3	787	4/10/2018	SEO
22	788	4/5/2018	AFFILIATE
5	789	4/4/2018	PAID SOCIAL
10	790	4/5/2018	PAID SOCIAL
20	791	4/10/2018	DIRECT LOAD
16	792	4/5/2018	SMS
5	793	4/6/2018	SEO
